Model,Test Accuracy,Training Accuracy,Precision,Recall,Size_MB,Flops_K,Max_RAM_KB,Param_Memory_KB,Total_Memory_KB,Training_Time
TakuNet Random_1 (Stages: 4),0.4503999948501587,0.5596799850463867,0.453938278260458,0.4471,5.680411338806152,2564.311,384.0,468.13671875,852.13671875,1002.3015673160553
TakuNet Random_2 (Stages: 1),0.4366999864578247,0.4733400046825409,0.48129239775878985,0.43670000000000003,1.9071578979492188,2205.608,256.0,155.07421875,411.07421875,789.1493997573853
TakuNet Random_3 (Stages: 2),0.5095999836921692,0.6000400185585022,0.5216265096373526,0.5051,5.5245256423950195,2413.577,256.0,460.82421875,716.82421875,920.2136051654816
TakuNet Random_4 (Stages: 3),0.17389999330043793,0.18855999410152435,0.18117568352154956,0.17389999999999997,5.413983345031738,1959.37,256.0,447.8359375,703.8359375,800.8069758415222
TakuNet Random_5 (Stages: 3),0.42340001463890076,0.49772000312805176,0.42394301663302625,0.42190000000000005,1.6967058181762695,965.462,192.0,130.75,322.75,492.7410123348236
TakuNet Random_6 (Stages: 2),0.2387000024318695,0.2281399965286255,0.21891473996077807,0.23869999999999994,2.9837522506713867,1300.563,256.0,243.23828125,499.23828125,403.621369600296
TakuNet Random_7 (Stages: 2),0.48969998955726624,0.562720000743866,0.5127990139873806,0.48969999999999997,2.027493476867676,1402.259,192.0,162.59765625,354.59765625,531.1124439239502
TakuNet Random_8 (Stages: 4),0.2337000072002411,0.21897999942302704,0.21756870142264562,0.23370000000000002,3.527981758117676,1694.253,256.0,282.9296875,538.9296875,464.31050276756287
TakuNet Random_9 (Stages: 3),0.5115000009536743,0.6094800233840942,0.5271155654396767,0.5115,7.553186416625977,2369.796,192.0,631.34765625,823.34765625,1044.272931098938
